rental_id,customer_id,gear_type,gear_id,daily_fee,rental_date,rental_duration,return_date,condition_before,condition_after,rental_fee
b6f299b8-1f8f-40b2-8347-40861cbc2c0c,6650c90c-1494-45a7-8ffe-20429775811a,Otto's Cozy Tent,SKU-001,15.0,2024-09-08 11:36:14,6,2024-09-14 11:36:14,Fair,Good,90.0
c7e0d80d-d1a0-4ec0-9689-2a656053ab74,61072eb0-18ff-49ec-b745-e35a7214bf30,Otto's Cozy Tent,SKU-001,15.0,2024-09-08 11:36:14,4,2024-09-12 11:36:14,Worn,Good,60.0
3c10c533-8a58-4a22-b623-eaa954ffe1ee,f997f413-c4d8-4019-9cd0-cb2195e0051e,Otto's Safety Helmet,SKU-003,5.0,2024-09-08 11:36:14,11,2024-09-19 11:36:14,Good,Worn,55.0
158b0da6-9f7a-4401-b0c9-116f75102e74,cf36024d-5940-43e1-b454-a189ae5b27d5,Goat's Secure Harness,SKU-006,9.0,2024-09-08 11:36:14,6,2024-09-14 11:36:14,Fair,Good,54.0
23986617-5267-4ac4-afdb-5939a3c1e5ff,fef7c2dc-fe3e-4cf1-9ab5-7884e464bf69,Otto's Adventure Rope,SKU-005,8.0,2024-09-08 11:36:14,9,2024-09-17 11:36:14,New,Worn,72.0
0222b384-eea4-40b5-97b4-f2e9e05647de,5e637473-9ef4-4ebf-99f7-ad9e182e1a1b,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-08 11:36:14,10,2024-09-18 11:36:14,Worn,Good,120.0
9e9c2bdc-1767-4c28-9099-fa58b331f0d9,4a803ed2-b16f-4e0f-b018-2e83174ff1d3,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-08 11:36:14,2,2024-09-10 11:36:14,Good,Fair,24.0
32990526-3428-40a6-9697-6f43382e757c,ff3fac50-3d6a-4180-a46a-6267475d504e,Otto's Climbing Crampons,SKU-007,11.0,2024-09-08 11:36:14,6,2024-09-14 11:36:14,New,New,66.0
0483568b-c915-4c3d-822c-d8a3371ea08e,1799119f-15f6-45fe-8456-17c49cf54a45,Otto's Cozy Tent,SKU-001,15.0,2024-09-08 11:36:14,7,2024-09-15 11:36:14,Good,Good,105.0
73f8d1fc-ffef-4dbe-819b-8ec3e243f3c3,3e6a1a3c-4a78-4bb6-8d0d-944b218e673e,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-08 11:36:14,2,2024-09-10 11:36:14,Fair,Worn,24.0
a540d019-413e-4a04-b61e-67375cbde2bc,0a5dedec-185c-4d2f-bd20-f0400aa5625f,Otto's Safety Helmet,SKU-003,5.0,2024-09-08 11:36:14,4,2024-09-12 11:36:14,New,Fair,20.0
7028ef35-dc1f-4866-a7a1-afe014a088e4,17fd22a3-73c2-40d0-84dc-887e9c841c3a,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-08 11:36:14,9,2024-09-17 11:36:14,Fair,Worn,108.0
866a8b84-b6f4-46fa-88f6-c0f86bbc66f5,a15d7f88-33d8-4ab3-895d-0a2a9ff7c9f4,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-08 11:36:14,9,2024-09-17 11:36:14,Worn,Good,108.0
fbbd5878-832b-4795-b852-916c6c71fcd1,6d0a6d13-8e44-4efa-90dd-0d58db6b2013,Goat's Secure Harness,SKU-006,9.0,2024-09-08 11:36:14,12,2024-09-20 11:36:14,Good,Good,108.0
6370ddcb-11e9-4151-be19-96bf1db236eb,60263755-b8a0-48d9-9e47-79eeb86b6828,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-08 11:36:14,4,2024-09-12 11:36:14,New,Good,40.0
adc5645a-da7c-40a4-8a70-5b0be950672e,bb07a582-9423-40a6-ac86-f4b30b1d6d0a,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-08 11:36:14,5,2024-09-13 11:36:14,Good,Fair,50.0
3bebb1ec-5744-43c2-8678-70e97ccfadc9,18e7cf84-9ad6-4343-bb6c-ce75b69ee6f1,Otto's Climbing Crampons,SKU-007,11.0,2024-09-08 11:36:14,5,2024-09-13 11:36:14,Worn,Worn,55.0
417d907d-9d90-4fea-b02a-0101d4d76eb1,7b01bf73-2113-418c-8ed1-6a3acab15c22,Goat's Secure Harness,SKU-006,9.0,2024-09-08 11:36:14,13,2024-09-21 11:36:14,New,Good,117.0
15080ba6-db5c-447f-be52-f8c298bc9a69,0d857729-153c-4d33-a349-cbda58ef9604,Otto's Climbing Crampons,SKU-007,11.0,2024-09-08 11:36:14,6,2024-09-14 11:36:14,Fair,Fair,66.0
a9f2091e-737b-4d60-8d5e-a54172ad6804,68cb4e66-c0a4-4153-9a67-84baff672fd2,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-08 11:36:14,2,2024-09-10 11:36:14,Worn,Good,20.0
40ca0174-57ab-4e02-9569-f2b7b54473b4,d7d15df1-1fac-46dd-b27d-4f651e72d472,Otto's Adventure Rope,SKU-005,8.0,2024-09-08 11:36:14,5,2024-09-13 11:36:14,New,New,40.0
92324756-1d28-4ddb-ac68-70651014815e,ea9af07c-f767-4eb5-8a49-f3c9d8f4ca1d,Otto's Cozy Tent,SKU-001,15.0,2024-09-08 11:36:14,12,2024-09-20 11:36:14,Fair,Worn,180.0
3cfcaf9e-d52f-42df-be57-cba4049f8e20,a290c7bf-b723-4dc8-8b1c-aec2914558a3,Otto's Safety Helmet,SKU-003,5.0,2024-09-08 11:36:14,4,2024-09-12 11:36:14,Worn,Worn,20.0
02f64850-d293-4119-a17c-cd9c4b5891df,551440c1-b465-4d94-9101-9334534ce086,Goat's Secure Harness,SKU-006,9.0,2024-09-08 11:36:14,9,2024-09-17 11:36:14,Fair,Worn,81.0
fb44a91d-e856-4400-b8d4-ca5437ead226,a594faf1-230a-4402-a709-dba9d8d916bb,Otto's Climbing Crampons,SKU-007,11.0,2024-09-08 11:36:14,9,2024-09-17 11:36:14,Worn,Worn,99.0
ffc12a45-aefb-47d5-ab2e-e499b8b428aa,ed978f3f-b827-43d0-8bca-9ce7b56646e7,Otto's Cozy Tent,SKU-001,15.0,2024-09-08 11:36:14,14,2024-09-22 11:36:14,Worn,New,210.0
06d07d8c-23bc-4137-976e-50205322d694,be2a4f4e-b3de-499c-9570-43b7e73bc8cd,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,1,2024-09-10 11:36:14,Worn,Good,12.0
1ffc0b4b-6aaf-41fe-a217-a1c6c418afa0,04847c14-26da-4371-a0f6-ef8912ea0c65,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,2,2024-09-11 11:36:14,Worn,Fair,30.0
b6ba70ee-7e10-4215-830d-47ffc78e6ef1,985a10f4-5793-4819-99dc-b35dbce0bd54,Otto's Safety Helmet,SKU-003,5.0,2024-09-09 11:36:14,14,2024-09-23 11:36:14,Good,Good,70.0
682a3544-9f0f-431c-8fc5-5f8476d13026,b33d6729-968c-420f-b5c2-530cda72e608,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,10,2024-09-19 11:36:14,Fair,Fair,150.0
be77c2fc-7362-4c08-b3a1-2e2787564988,9f26515c-5b86-4c9c-b5db-a171e1531e27,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-09 11:36:14,5,2024-09-14 11:36:14,Fair,Worn,50.0
e6ad334c-3be7-482d-8cb2-7459f2e7f93c,3252ac96-0a89-4261-b99c-8750130e228b,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,5,2024-09-14 11:36:14,New,New,60.0
4df07354-d6dd-4f78-bfde-c2ef2608f0d4,df95cef3-6856-4bb6-b8ed-ccf651db7210,Otto's Safety Helmet,SKU-003,5.0,2024-09-09 11:36:14,1,2024-09-10 11:36:14,New,New,5.0
61f64322-ff7f-41da-a63d-3ef075f2c441,786fefac-3e6e-4716-90e0-f0c8472cdd71,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,4,2024-09-13 11:36:14,Worn,Fair,60.0
05120927-945f-4d53-861b-a18bb3bbc0fd,821f2aec-5aec-41cb-a2eb-218c99a1a832,Otto's Climbing Crampons,SKU-007,11.0,2024-09-09 11:36:14,4,2024-09-13 11:36:14,Good,Good,44.0
0bacb9f4-26c0-4dc8-b47a-4aa4115338cd,fcc9d27f-b541-4ab0-8b96-21596e86b86e,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,1,2024-09-10 11:36:14,New,New,12.0
9567f6b4-efa5-48d9-af88-80312a85297e,1a7fdf59-0bb7-47fb-a219-658f9d130c8b,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-09 11:36:14,14,2024-09-23 11:36:14,Fair,Fair,140.0
dcfa6ea1-f8ed-4418-ac5f-2609492c9ba4,54650536-ff56-4863-a752-4d2b55a14f9f,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,6,2024-09-15 11:36:14,Worn,Worn,72.0
35e54f2a-b7d2-48eb-b021-12752723ef3e,c58c5784-0c47-44c8-81c6-873898d0d2e6,Otto's Climbing Crampons,SKU-007,11.0,2024-09-09 11:36:14,6,2024-09-15 11:36:14,Fair,Good,66.0
df820c37-0455-4413-bf9c-d613b1acd90a,6e4f5ac7-8b3f-46d4-abdb-84523d89fa9c,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,8,2024-09-17 11:36:14,Worn,New,120.0
eb45450b-72b0-4a67-968e-09464e5c358c,30dfa045-0b2e-4fbc-90c9-dabf9d192ab6,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,11,2024-09-20 11:36:14,New,Worn,165.0
d8e98e7b-ccd4-4e84-b543-cbfb1a54b333,0e1c5fef-ab56-4dbd-8ebf-24fe9babe8be,Otto's Climbing Crampons,SKU-007,11.0,2024-09-09 11:36:14,10,2024-09-19 11:36:14,Fair,Worn,110.0
a94e4256-2e57-46e8-9e0d-7d60eec11fa9,79b3a218-e6d1-40b8-96cc-4a1feeb37189,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-09 11:36:14,7,2024-09-16 11:36:14,New,Good,70.0
e206317d-cd8f-4ad8-b535-43613378d9e2,02566042-60db-4f27-a078-8a3f969d0005,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,13,2024-09-22 11:36:14,Good,Worn,195.0
7f09d43d-4bf4-4bae-b8f8-44dce3fff2bb,f3088589-8eb6-4c8e-802a-87b0d6c2f166,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,1,2024-09-10 11:36:14,Worn,Good,12.0
f1a2b806-80c4-4e0a-a183-20f31b2f825a,12dee830-7bbb-4249-ad5a-ec75b5c7d224,Otto's Safety Helmet,SKU-003,5.0,2024-09-09 11:36:14,9,2024-09-18 11:36:14,Good,Worn,45.0
3f76311f-941b-4fc4-965b-5b89faba3bba,5401ae74-589b-4688-bb87-4327826049a2,Otto's Safety Helmet,SKU-003,5.0,2024-09-09 11:36:14,5,2024-09-14 11:36:14,Good,Worn,25.0
be59c1f9-d121-4322-a9c3-e93c9056bd3d,2b056e6d-b32f-484f-916f-1c18b57d7b7a,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,10,2024-09-19 11:36:14,New,New,150.0
dc97e959-3661-4fdc-92ce-61a26ec311e5,d45b4db0-29aa-40c7-96ea-29ee8404b132,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,13,2024-09-22 11:36:14,New,Worn,156.0
0fcc02ff-074d-4937-b870-cf1d566eafd7,0dcc8661-5341-4527-b64b-5a80c2d9a075,Otto's Climbing Crampons,SKU-007,11.0,2024-09-09 11:36:14,10,2024-09-19 11:36:14,Worn,Good,110.0
5c3fc188-763b-476e-b278-cdc2b5262703,fb6c8af7-06e7-4251-a374-747c4f6b9254,Otto's Adventure Rope,SKU-005,8.0,2024-09-09 11:36:14,6,2024-09-15 11:36:14,Good,New,48.0
73287df9-deef-4e6a-9ed6-b5e3a2e31d3c,67b47bfd-2cd2-42cc-95fc-0a829563c87d,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,6,2024-09-15 11:36:14,Worn,Worn,90.0
053b3229-f625-46c8-ab80-7b4f76da14fd,32afadcf-d6f8-4e0a-b93a-381dc3b9cb94,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,8,2024-09-17 11:36:14,Good,Fair,96.0
5d96af66-8230-4858-94e0-524f54b60461,45079a59-d4e5-48f0-a05b-b47095fabb43,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,4,2024-09-13 11:36:14,Good,New,60.0
b8ce929c-8641-4893-bc74-e48a17b49dcc,5982846c-d970-469b-9de8-0588cd53c62e,Goat's Secure Harness,SKU-006,9.0,2024-09-09 11:36:14,13,2024-09-22 11:36:14,New,Worn,117.0
7895df88-eddc-4341-9ab2-5c94e26eb9a9,8c6f25ea-b9f8-4b6a-aac2-3f2ef7dd7fcb,Otto's Climbing Crampons,SKU-007,11.0,2024-09-09 11:36:14,14,2024-09-23 11:36:14,Worn,Good,154.0
9ab9e6df-6b15-447d-9598-5ca17fc8a208,588022b2-c897-46c2-b87d-af27c6455478,Otto's Adventure Rope,SKU-005,8.0,2024-09-09 11:36:14,2,2024-09-11 11:36:14,Good,Fair,16.0
5449b1d9-d2fa-430c-aeb0-d14eb1e52257,8239837a-9eab-4175-8e90-92d5b5cc3a0e,Otto's Safety Helmet,SKU-003,5.0,2024-09-09 11:36:14,12,2024-09-21 11:36:14,Fair,Fair,60.0
2e536124-68b0-44c7-8901-6f18c0c6feae,e8172673-4e61-4f4a-a485-bbaa03971c21,Otto's Climbing Crampons,SKU-007,11.0,2024-09-09 11:36:14,11,2024-09-20 11:36:14,Good,Good,121.0
c4fa4a10-74af-4659-bb97-131aa0674b01,0ac329a4-9be5-4eb1-bb69-4ee31c9b075b,Otto's Cozy Tent,SKU-001,15.0,2024-09-09 11:36:14,7,2024-09-16 11:36:14,Fair,New,105.0
5bc294d4-84a0-4a4a-82cf-3c06590d4250,b7f2a8ea-80a5-4e3a-a7cc-2f4fba80f8ca,Mountain Goat Ice Axe,SKU-002,10.0,2024-09-09 11:36:14,2,2024-09-11 11:36:14,Fair,Worn,20.0
a28aaee2-ff50-491a-a6a8-8e3eb89c550d,e07fa215-dc17-4f24-94af-94ec5d2b9429,Goat's Warm Sleeping Bag,SKU-004,12.0,2024-09-09 11:36:14,2,2024-09-11 11:36:14,Fair,Worn,24.0
039cd638-f471-4083-ae6c-d03127eacca1,a25a6699-629a-4e9d-8d16-94fbc89b07df,Otto's Adventure Rope,SKU-005,8.0,2024-09-09 11:36:14,13,2024-09-22 11:36:14,Worn,Worn,104.0
ff4f0ef1-6819-4bc8-9a04-71753e720e3a,3708bffd-c681-42e3-a14c-db16dd91176a,Goat's Secure Harness,SKU-006,9.0,2024-09-09 11:36:14,2,2024-09-11 11:36:14,New,Fair,18.0
