feedback_id,customer_id,expedition_id,rating,comments,recommendation
1b59eacb-4314-45a2-83a0-862f53204ba7,6650c90c-1494-45a7-8ffe-20429775811a,62b89b75-b311-4ece-acf3-c3edb1e5482c,3,"Enjoyed the trip, but expected more from the company.",False
b83a2ba9-50ba-450b-8e78-1f34959ae00c,61072eb0-18ff-49ec-b745-e35a7214bf30,62b89b75-b311-4ece-acf3-c3edb1e5482c,4,"Exceeded my expectations, the guide was fantastic!",True
237ccb7c-e8b6-401a-ab10-93de31f0ef84,f997f413-c4d8-4019-9cd0-cb2195e0051e,62b89b75-b311-4ece-acf3-c3edb1e5482c,4,Amazing experience with breathtaking views!,True
e73feb3b-80d9-4391-af84-9eb39a7693bc,3b7c3750-1094-4847-a0dc-a7380bbd9bd3,62b89b75-b311-4ece-acf3-c3edb1e5482c,4,,True
f74405aa-f26c-4d4f-a619-c6c842bc01ae,cf36024d-5940-43e1-b454-a189ae5b27d5,62b89b75-b311-4ece-acf3-c3edb1e5482c,5,The expedition was well-organized and thrilling!,True
6eb2d64f-d0b7-4dab-b513-227b9bf811c7,fef7c2dc-fe3e-4cf1-9ab5-7884e464bf69,62b89b75-b311-4ece-acf3-c3edb1e5482c,2,The expedition was poorly organized and disappointing.,False
e8af795b-1bce-4230-a501-886c901ffe84,5e637473-9ef4-4ebf-99f7-ad9e182e1a1b,62b89b75-b311-4ece-acf3-c3edb1e5482c,3,,False
eb0b69ac-ba5c-457d-ac02-7549feb7d212,4a803ed2-b16f-4e0f-b018-2e83174ff1d3,62b89b75-b311-4ece-acf3-c3edb1e5482c,1,The expedition was poorly organized and disappointing.,False
1a800e3b-0a4c-4c2b-92ac-5d905c63228e,ff3fac50-3d6a-4180-a46a-6267475d504e,62b89b75-b311-4ece-acf3-c3edb1e5482c,1,The expedition was poorly organized and disappointing.,False
8b17c982-3705-42c5-8da1-73582c9455bd,20491938-3012-45b2-b239-950fe7c862f7,62b89b75-b311-4ece-acf3-c3edb1e5482c,5,"Loved every moment, the company provided excellent service!",True
513cf8b0-c4e6-443c-a5b2-8d738ad699ce,1799119f-15f6-45fe-8456-17c49cf54a45,62b89b75-b311-4ece-acf3-c3edb1e5482c,2,The expedition was poorly organized and disappointing.,False
99195bc9-634e-4cac-9355-534b6bde352e,3e6a1a3c-4a78-4bb6-8d0d-944b218e673e,62b89b75-b311-4ece-acf3-c3edb1e5482c,5,,True
c6a6bb8f-3050-47d7-a981-1619b370bb64,f7540a81-cb65-40c7-ab7c-9654841fa45f,62b89b75-b311-4ece-acf3-c3edb1e5482c,3,,False
8aa489f2-12bf-4424-994d-7ed4d2fe593a,0a5dedec-185c-4d2f-bd20-f0400aa5625f,62b89b75-b311-4ece-acf3-c3edb1e5482c,2,"Would not recommend, the company failed to meet expectations.",False
ae0b8197-708e-43de-9ce0-dad0613fc6ae,17fd22a3-73c2-40d0-84dc-887e9c841c3a,62b89b75-b311-4ece-acf3-c3edb1e5482c,2,The expedition was poorly organized and disappointing.,False
11d0d17c-a976-45bf-9f12-5081445060d8,a15d7f88-33d8-4ab3-895d-0a2a9ff7c9f4,62b89b75-b311-4ece-acf3-c3edb1e5482c,1,"Not satisfied with the expedition, the guide seemed inexperienced.",False
99aacdfd-fc99-4bdd-b65e-484ab7f9b490,6d0a6d13-8e44-4efa-90dd-0d58db6b2013,62b89b75-b311-4ece-acf3-c3edb1e5482c,3,"The views were nice, but the logistics could improve.",False
24ca9dd1-1446-4047-8f67-f9683e8d6118,00f43a38-3e4f-48c0-a70c-d400ae56ac7a,62b89b75-b311-4ece-acf3-c3edb1e5482c,3,"It was okay, the route was a bit challenging.",False
5e006a93-5ed3-4121-84c8-7063a875ed22,60263755-b8a0-48d9-9e47-79eeb86b6828,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,1,"Not satisfied with the expedition, the guide seemed inexperienced.",False
b98038f9-9866-42df-90da-8ed6a8e0989c,a19b6015-05a5-4446-a26d-04e16fbbde2d,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,3,"The views were nice, but the logistics could improve.",False
99a0c66a-5046-4bad-ad61-23438652d6bd,bb07a582-9423-40a6-ac86-f4b30b1d6d0a,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,3,,False
26956cd7-b001-4a2e-bfb2-a04678d9d519,18e7cf84-9ad6-4343-bb6c-ce75b69ee6f1,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,2,The expedition was poorly organized and disappointing.,False
ca1470bf-1e57-4a30-ac21-55499b936763,8db34220-ea7e-4db6-8100-a228c6a968c9,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,2,"Would not recommend, the company failed to meet expectations.",False
5728ba68-908a-4541-92aa-76d8e4253745,7b01bf73-2113-418c-8ed1-6a3acab15c22,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,5,,True
0c5cb321-a9f3-49db-b3bb-441c77df297e,0d857729-153c-4d33-a349-cbda58ef9604,2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,2,,False
ad098ba6-42f6-4688-852a-8bab9fac9128,68cb4e66-c0a4-4153-9a67-84baff672fd2,67b9537c-68c1-4395-9d3c-29f855a69458,4,The expedition was well-organized and thrilling!,True
7a0fa151-b907-4628-9c06-57fd4a846a60,d7d15df1-1fac-46dd-b27d-4f651e72d472,67b9537c-68c1-4395-9d3c-29f855a69458,1,,False
faaedfa7-b444-4d87-a4ca-fad23d0b7d23,a5c84d99-01de-4a84-b9ab-31ad377180ba,67b9537c-68c1-4395-9d3c-29f855a69458,1,"The instructor was unhelpful, and the trip was not enjoyable.",False
8d8a2ee4-5532-4797-b749-9408f9ded9d4,ea9af07c-f767-4eb5-8a49-f3c9d8f4ca1d,67b9537c-68c1-4395-9d3c-29f855a69458,3,,False
a559416e-2de2-4403-83a2-0fe25e144653,a290c7bf-b723-4dc8-8b1c-aec2914558a3,67b9537c-68c1-4395-9d3c-29f855a69458,1,,False
d04e4474-2c32-42d8-8e6f-7d7fcf24abc2,8f7f933f-0065-4161-8e3e-0a50639811c4,67b9537c-68c1-4395-9d3c-29f855a69458,3,"The views were nice, but the logistics could improve.",False
af91fae5-46b5-42c5-97ae-4abf16c07774,94039946-15a2-427d-b950-fc3b210769cc,67b9537c-68c1-4395-9d3c-29f855a69458,1,,False
bad79f81-fd6e-4e7a-bd91-69adca129e1a,551440c1-b465-4d94-9101-9334534ce086,67b9537c-68c1-4395-9d3c-29f855a69458,3,"It was okay, the route was a bit challenging.",False
e1e78d04-f400-436c-b8fd-deb0d0d313bf,cebc871e-289e-4aba-8ec8-555be4fc22e3,67b9537c-68c1-4395-9d3c-29f855a69458,5,"Loved every moment, the company provided excellent service!",True
2b2ea745-88a2-4e0c-ab73-0ce619592d15,a594faf1-230a-4402-a709-dba9d8d916bb,67b9537c-68c1-4395-9d3c-29f855a69458,4,,True
6c4961f1-07ad-4ae8-89e8-24ad82617352,ed978f3f-b827-43d0-8bca-9ce7b56646e7,67b9537c-68c1-4395-9d3c-29f855a69458,1,"The route was unsafe, and the company did not address concerns.",False
1a58d1bd-24fb-4a0f-913a-c111c1c4c42d,be2a4f4e-b3de-499c-9570-43b7e73bc8cd,586f9e72-1fde-4160-9e85-e24a8a47d426,2,The expedition was poorly organized and disappointing.,False
a3a3943c-2cf8-48ca-b0ac-8d81755f885b,04847c14-26da-4371-a0f6-ef8912ea0c65,586f9e72-1fde-4160-9e85-e24a8a47d426,5,"Loved every moment, the company provided excellent service!",True
b234972d-3be0-40fb-999e-a0e779620ee6,985a10f4-5793-4819-99dc-b35dbce0bd54,586f9e72-1fde-4160-9e85-e24a8a47d426,2,"The route was unsafe, and the company did not address concerns.",False
83cd7e78-0ba3-4e49-b8d7-2f2b44484d6a,b33d6729-968c-420f-b5c2-530cda72e608,586f9e72-1fde-4160-9e85-e24a8a47d426,2,"The instructor was unhelpful, and the trip was not enjoyable.",False
cd0c1021-4736-4e3f-a83d-fcd297daccba,9f26515c-5b86-4c9c-b5db-a171e1531e27,586f9e72-1fde-4160-9e85-e24a8a47d426,4,The expedition was well-organized and thrilling!,True
275d6d8c-1714-4288-a617-9f05ca48daeb,3252ac96-0a89-4261-b99c-8750130e228b,586f9e72-1fde-4160-9e85-e24a8a47d426,5,The expedition was well-organized and thrilling!,True
a816dffe-ed19-43cd-b147-4d66271d49d3,920ea5fc-a049-4b2a-9fe7-de499c2414da,586f9e72-1fde-4160-9e85-e24a8a47d426,3,"Decent experience, but the weather could have been better.",False
1b10f410-3c43-4102-b237-590047e52a4d,df95cef3-6856-4bb6-b8ed-ccf651db7210,586f9e72-1fde-4160-9e85-e24a8a47d426,5,Amazing experience with breathtaking views!,True
