expedition_id,climber_id,summit_reached,summit_date,climb_duration,incident_reported,expedition_success
62b89b75-b311-4ece-acf3-c3edb1e5482c,6650c90c-1494-45a7-8ffe-20429775811a,True,2024-10-11 11:36:14.787477,4.7,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,61072eb0-18ff-49ec-b745-e35a7214bf30,False,,0.0,False,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,f997f413-c4d8-4019-9cd0-cb2195e0051e,True,2024-10-11 11:36:14.787521,5.3,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,3b7c3750-1094-4847-a0dc-a7380bbd9bd3,False,,0.0,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,cf36024d-5940-43e1-b454-a189ae5b27d5,True,2024-10-14 11:36:14.787547,9.7,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,fef7c2dc-fe3e-4cf1-9ab5-7884e464bf69,False,,0.0,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,5e637473-9ef4-4ebf-99f7-ad9e182e1a1b,True,2024-10-09 11:36:14.787574,9.7,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,4a803ed2-b16f-4e0f-b018-2e83174ff1d3,True,2024-10-15 11:36:14.787588,4.3,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,ff3fac50-3d6a-4180-a46a-6267475d504e,True,2024-10-10 11:36:14.787598,7.8,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,20491938-3012-45b2-b239-950fe7c862f7,True,2024-10-09 11:36:14.787607,4.6,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,1799119f-15f6-45fe-8456-17c49cf54a45,True,2024-10-12 11:36:14.787613,9.5,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,3e6a1a3c-4a78-4bb6-8d0d-944b218e673e,True,2024-10-09 11:36:14.787632,2.8,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,f7540a81-cb65-40c7-ab7c-9654841fa45f,True,2024-10-15 11:36:14.787641,6.0,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,0a5dedec-185c-4d2f-bd20-f0400aa5625f,True,2024-10-12 11:36:14.787653,3.6,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,17fd22a3-73c2-40d0-84dc-887e9c841c3a,True,2024-10-17 11:36:14.787670,4.5,True,False
62b89b75-b311-4ece-acf3-c3edb1e5482c,a15d7f88-33d8-4ab3-895d-0a2a9ff7c9f4,True,2024-10-14 11:36:14.787684,4.0,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,6d0a6d13-8e44-4efa-90dd-0d58db6b2013,True,2024-10-17 11:36:14.787698,3.5,False,True
62b89b75-b311-4ece-acf3-c3edb1e5482c,00f43a38-3e4f-48c0-a70c-d400ae56ac7a,True,2024-10-12 11:36:14.787708,9.0,False,True
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,60263755-b8a0-48d9-9e47-79eeb86b6828,True,2024-10-12 11:36:14.787719,3.9,True,False
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,a19b6015-05a5-4446-a26d-04e16fbbde2d,True,2024-10-15 11:36:14.787734,2.6,False,True
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,bb07a582-9423-40a6-ac86-f4b30b1d6d0a,False,,0.0,False,False
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,18e7cf84-9ad6-4343-bb6c-ce75b69ee6f1,True,2024-10-11 11:36:14.787752,8.3,True,False
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,8db34220-ea7e-4db6-8100-a228c6a968c9,False,,0.0,True,False
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,7b01bf73-2113-418c-8ed1-6a3acab15c22,True,2024-10-09 11:36:14.787770,5.1,True,False
2202b1b5-705b-41fd-8ffb-1a6ffd6b72bc,0d857729-153c-4d33-a349-cbda58ef9604,True,2024-10-13 11:36:14.787796,5.0,False,True
67b9537c-68c1-4395-9d3c-29f855a69458,68cb4e66-c0a4-4153-9a67-84baff672fd2,False,,0.0,False,False
67b9537c-68c1-4395-9d3c-29f855a69458,d7d15df1-1fac-46dd-b27d-4f651e72d472,True,2024-10-13 11:36:14.787823,1.1,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,a5c84d99-01de-4a84-b9ab-31ad377180ba,True,2024-10-11 11:36:14.787837,3.9,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,ea9af07c-f767-4eb5-8a49-f3c9d8f4ca1d,True,2024-10-13 11:36:14.787847,7.6,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,a290c7bf-b723-4dc8-8b1c-aec2914558a3,True,2024-10-15 11:36:14.787865,5.7,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,8f7f933f-0065-4161-8e3e-0a50639811c4,True,2024-10-18 11:36:14.787879,2.4,False,True
67b9537c-68c1-4395-9d3c-29f855a69458,94039946-15a2-427d-b950-fc3b210769cc,False,,0.0,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,551440c1-b465-4d94-9101-9334534ce086,False,,0.0,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,cebc871e-289e-4aba-8ec8-555be4fc22e3,True,2024-10-16 11:36:14.787911,9.4,False,True
67b9537c-68c1-4395-9d3c-29f855a69458,a594faf1-230a-4402-a709-dba9d8d916bb,True,2024-10-12 11:36:14.787917,3.7,True,False
67b9537c-68c1-4395-9d3c-29f855a69458,ed978f3f-b827-43d0-8bca-9ce7b56646e7,True,2024-10-17 11:36:14.787931,1.0,True,False
586f9e72-1fde-4160-9e85-e24a8a47d426,be2a4f4e-b3de-499c-9570-43b7e73bc8cd,False,,0.0,False,False
586f9e72-1fde-4160-9e85-e24a8a47d426,04847c14-26da-4371-a0f6-ef8912ea0c65,True,2024-10-15 11:36:14.787969,8.6,False,True
586f9e72-1fde-4160-9e85-e24a8a47d426,985a10f4-5793-4819-99dc-b35dbce0bd54,True,2024-10-16 11:36:14.787984,4.5,False,True
586f9e72-1fde-4160-9e85-e24a8a47d426,b33d6729-968c-420f-b5c2-530cda72e608,True,2024-10-14 11:36:14.787999,6.2,False,True
586f9e72-1fde-4160-9e85-e24a8a47d426,9f26515c-5b86-4c9c-b5db-a171e1531e27,True,2024-10-12 11:36:14.788015,9.0,False,True
586f9e72-1fde-4160-9e85-e24a8a47d426,3252ac96-0a89-4261-b99c-8750130e228b,True,2024-10-16 11:36:14.788026,3.5,True,False
586f9e72-1fde-4160-9e85-e24a8a47d426,920ea5fc-a049-4b2a-9fe7-de499c2414da,True,2024-10-17 11:36:14.788039,4.4,True,False
586f9e72-1fde-4160-9e85-e24a8a47d426,df95cef3-6856-4bb6-b8ed-ccf651db7210,False,,0.0,False,False
586f9e72-1fde-4160-9e85-e24a8a47d426,786fefac-3e6e-4716-90e0-f0c8472cdd71,False,,0.0,False,False
586f9e72-1fde-4160-9e85-e24a8a47d426,821f2aec-5aec-41cb-a2eb-218c99a1a832,True,2024-10-14 11:36:14.788081,5.5,True,False
586f9e72-1fde-4160-9e85-e24a8a47d426,fcc9d27f-b541-4ab0-8b96-21596e86b86e,False,,0.0,False,False
586f9e72-1fde-4160-9e85-e24a8a47d426,1a7fdf59-0bb7-47fb-a219-658f9d130c8b,True,2024-10-10 11:36:14.788109,6.7,True,False
586f9e72-1fde-4160-9e85-e24a8a47d426,54650536-ff56-4863-a752-4d2b55a14f9f,True,2024-10-10 11:36:14.788122,6.1,True,False
586f9e72-1fde-4160-9e85-e24a8a47d426,4d6e2480-3140-41b7-96bc-5df3373dcb24,True,2024-10-14 11:36:14.788137,1.1,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,9f2043e6-effe-47f6-98e9-94a96d1b28aa,False,,0.0,False,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,c58c5784-0c47-44c8-81c6-873898d0d2e6,True,2024-10-15 11:36:14.788157,1.5,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,8e4d4262-3a64-4aeb-b7a4-32fff2b64041,True,2024-10-10 11:36:14.788166,8.4,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,6e4f5ac7-8b3f-46d4-abdb-84523d89fa9c,False,,0.0,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,30dfa045-0b2e-4fbc-90c9-dabf9d192ab6,False,,0.0,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,0e1c5fef-ab56-4dbd-8ebf-24fe9babe8be,True,2024-10-09 11:36:14.788204,2.6,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,f01241c0-7a52-451a-85fc-0efe13ccbc2c,True,2024-10-15 11:36:14.788213,9.5,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,79b3a218-e6d1-40b8-96cc-4a1feeb37189,False,,0.0,False,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,87d4529c-e6fa-42fb-9908-f10511f0f4e4,False,,0.0,True,False
ab2eed68-fa59-466a-9fdf-2fa3582f6c60,02566042-60db-4f27-a078-8a3f969d0005,True,2024-10-17 11:36:14.788250,2.7,True,False
e2300f24-a25d-4e8d-9c82-d83e2095de9a,f3088589-8eb6-4c8e-802a-87b0d6c2f166,True,2024-10-10 11:36:14.788270,2.1,True,False
e2300f24-a25d-4e8d-9c82-d83e2095de9a,12dee830-7bbb-4249-ad5a-ec75b5c7d224,True,2024-10-17 11:36:14.788291,5.2,False,True
e2300f24-a25d-4e8d-9c82-d83e2095de9a,5401ae74-589b-4688-bb87-4327826049a2,True,2024-10-16 11:36:14.788300,5.6,False,True
e2300f24-a25d-4e8d-9c82-d83e2095de9a,2b056e6d-b32f-484f-916f-1c18b57d7b7a,True,2024-10-17 11:36:14.788314,6.9,True,False
e2300f24-a25d-4e8d-9c82-d83e2095de9a,d45b4db0-29aa-40c7-96ea-29ee8404b132,True,2024-10-09 11:36:14.788329,4.8,False,True
e2300f24-a25d-4e8d-9c82-d83e2095de9a,0dcc8661-5341-4527-b64b-5a80c2d9a075,True,2024-10-15 11:36:14.788347,3.5,False,True
e2300f24-a25d-4e8d-9c82-d83e2095de9a,fb6c8af7-06e7-4251-a374-747c4f6b9254,True,2024-10-12 11:36:14.788365,2.8,True,False
e2300f24-a25d-4e8d-9c82-d83e2095de9a,67b47bfd-2cd2-42cc-95fc-0a829563c87d,True,2024-10-09 11:36:14.788374,2.5,True,False
e2300f24-a25d-4e8d-9c82-d83e2095de9a,32afadcf-d6f8-4e0a-b93a-381dc3b9cb94,True,2024-10-18 11:36:14.788388,9.2,False,True
